english,category,arabic
Note,headers,إيضاح
Note,headers,ملاحظة
Note,headers,رقم الإيضاح
Notes,headers,إيضاحات
Notes,headers,ملاحظات
Description,headers,البيان
Description,headers,الوصف
Description,headers,التفاصيل
Description,headers,البند
Item,headers,البند
Item,headers,العنصر
Total,headers,الإجمالي
Total,headers,المجموع
Total,headers,إجمالي
Total,headers,مجموع
Subtotal,headers,المجموع الفرعي
Subtotal,headers,الإجمالي الفرعي
Grand total,headers,الإجمالي الكلي
Grand total,headers,المجموع الكلي
Change,headers,التغير
Change,headers,التغيير
Change,headers,الفرق
Change %,headers,نسبة التغير
Change %,headers,التغير %
Change %,headers,التغير بالنسبة المئوية
Amount,headers,المبلغ
Amount,headers,القيمة
Balance,headers,الرصيد
Balance,headers,الرصيد المتبقي
Opening balance,headers,الرصيد الافتتاحي
Opening balance,headers,رصيد أول المدة
Opening balance,headers,الرصيد أول الفترة
Closing balance,headers,الرصيد الختامي
Closing balance,headers,رصيد آخر المدة
Closing balance,headers,الرصيد آخر الفترة
Debit,headers,مدين
Credit,headers,دائن
Current year,headers,السنة الحالية
Current year,headers,العام الحالي
Current year,headers,السنة الجارية
Prior year,headers,السنة السابقة
Prior year,headers,العام السابق
Prior year,headers,السنة المقارنة
As at 31 December,headers,كما في 31 ديسمبر
As at 31 December,headers,كما في ٣١ ديسمبر
As at 31 December,headers,كما في 31 كانون الأول
For the year ended 31 December,headers,للسنة المنتهية في 31 ديسمبر
For the year ended 31 December,headers,عن السنة المنتهية في 31 ديسمبر
For the period ended,headers,للفترة المنتهية في
For the period ended,headers,عن الفترة المنتهية في
Year ended,headers,السنة المنتهية في
Year ended,headers,للسنة المنتهية في
Quarter,headers,الربع
Quarter,headers,ربع السنة
First quarter,headers,الربع الأول
Second quarter,headers,الربع الثاني
Third quarter,headers,الربع الثالث
Fourth quarter,headers,الربع الرابع
Audited,headers,مدققة
Audited,headers,مراجعة
Audited,headers,مدقّقة
Unaudited,headers,غير مدققة
Unaudited,headers,غير مراجعة
Consolidated,headers,موحدة
Consolidated,headers,موحد
Consolidated,headers,مجمعة
Consolidated,headers,المجمعة
Restated,headers,معاد إدراجها
Restated,headers,معدلة
Restated,headers,معاد بيانها
Interest income,income_statement,إيرادات الفوائد
Interest income,income_statement,دخل الفوائد
Interest income,income_statement,إيرادات فوائد
Interest expense,income_statement,مصروفات الفوائد
Interest expense,income_statement,مصاريف الفوائد
Interest expense,income_statement,أعباء الفوائد
Net interest income,income_statement,صافي إيرادات الفوائد
Net interest income,income_statement,صافي دخل الفوائد
Income from Islamic financing,income_statement,إيرادات التمويل الإسلامي
Income from Islamic financing,income_statement,دخل التمويل الإسلامي
Fees and commission income,income_statement,إيرادات الرسوم والعمولات
Fees and commission income,income_statement,دخل الأتعاب والعمولات
Fees and commission income,income_statement,إيرادات الأتعاب والعمولات
Fees and commission expense,income_statement,مصروفات الرسوم والعمولات
Fees and commission expense,income_statement,مصاريف الأتعاب والعمولات
Net fee and commission income,income_statement,صافي إيرادات الرسوم والعمولات
Net fee and commission income,income_statement,صافي دخل الأتعاب والعمولات
Net trading income,income_statement,صافي إيرادات المتاجرة
Net trading income,income_statement,صافي دخل المتاجرة
Net trading income,income_statement,صافي أرباح المتاجرة
Foreign exchange income,income_statement,إيرادات صرف العملات الأجنبية
Foreign exchange income,income_statement,أرباح العملات الأجنبية
Dividend income,income_statement,إيرادات توزيعات الأرباح
Dividend income,income_statement,دخل توزيعات الأرباح
Other operating income,income_statement,إيرادات تشغيلية أخرى
Other operating income,income_statement,دخل تشغيلي آخر
Other operating income,income_statement,الإيرادات التشغيلية الأخرى
Operating income,income_statement,إيرادات التشغيل
Operating income,income_statement,الإيرادات التشغيلية
Operating income,income_statement,إجمالي الدخل التشغيلي
Operating income,income_statement,الدخل التشغيلي
Total operating income,income_statement,إجمالي الإيرادات التشغيلية
Total operating income,income_statement,إجمالي الدخل التشغيلي
Staff costs,income_statement,تكاليف الموظفين
Staff costs,income_statement,مصروفات الموظفين
Staff costs,income_statement,تكاليف العاملين
Staff costs,income_statement,نفقات الموظفين
Salaries and employee benefits,income_statement,الرواتب ومزايا الموظفين
Salaries and employee benefits,income_statement,الرواتب والمزايا
Premises costs,income_statement,تكاليف المباني
Premises costs,income_statement,مصروفات المقرات
Premises costs,income_statement,تكاليف المقر
General and administrative expenses,income_statement,المصروفات العمومية والإدارية
General and administrative expenses,income_statement,مصاريف عمومية وإدارية
General and administrative expenses,income_statement,المصاريف الإدارية والعمومية
Depreciation and amortisation,income_statement,الاستهلاك والإطفاء
Depreciation and amortisation,income_statement,الإهلاك والإطفاء
Operating expenses,income_statement,المصروفات التشغيلية
Operating expenses,income_statement,مصاريف التشغيل
Operating expenses,income_statement,إجمالي المصروفات التشغيلية
Total operating expenses,income_statement,إجمالي المصروفات التشغيلية
Total operating expenses,income_statement,إجمالي مصاريف التشغيل
Operating profit before impairment losses and taxation,income_statement,الربح التشغيلي قبل خسائر انخفاض القيمة والضرائب
Operating profit before impairment losses and taxation,income_statement,الأرباح التشغيلية قبل مخصصات انخفاض القيمة والضريبة
Credit impairment,income_statement,مخصص انخفاض قيمة الائتمان
Credit impairment,income_statement,خسائر انخفاض القيمة الائتمانية
Credit impairment,income_statement,مخصص خسائر الائتمان
Impairment charge,income_statement,مصروف انخفاض القيمة
Impairment charge,income_statement,عبء انخفاض القيمة
Expected credit losses,income_statement,الخسائر الائتمانية المتوقعة
Expected credit losses,income_statement,خسائر الائتمان المتوقعة
Provision for credit losses,income_statement,مخصص خسائر الائتمان
Provision for credit losses,income_statement,مخصص خسائر القروض
Other impairment,income_statement,انخفاض قيمة أخرى
Other impairment,income_statement,خسائر انخفاض قيمة أخرى
Goodwill impairment,income_statement,انخفاض قيمة الشهرة
Goodwill impairment,income_statement,خسارة انخفاض قيمة الشهرة
Share of profit from associates and joint ventures,income_statement,الحصة من أرباح الشركات الزميلة والمشاريع المشتركة
Share of profit from associates and joint ventures,income_statement,حصة من نتائج الشركات الزميلة
Profit before taxation,income_statement,الربح قبل الضريبة
Profit before taxation,income_statement,الربح قبل الضرائب
Profit before taxation,income_statement,صافي الربح قبل الضريبة
Profit before taxation,income_statement,الأرباح قبل الضريبة
Taxation,income_statement,الضريبة
Taxation,income_statement,الضرائب
Taxation,income_statement,مصروف الضريبة
Taxation,income_statement,ضريبة الدخل
Income tax expense,income_statement,مصروف ضريبة الدخل
Income tax expense,income_statement,مصروف الضريبة على الدخل
Zakat,income_statement,الزكاة
Zakat,income_statement,مصروف الزكاة
Zakat and income tax,income_statement,الزكاة وضريبة الدخل
Zakat and income tax,income_statement,الزكاة والضريبة
Profit for the year,income_statement,ربح السنة
Profit for the year,income_statement,صافي ربح السنة
Profit for the year,income_statement,الربح للسنة
Profit for the year,income_statement,صافي الربح للسنة
Profit for the period,income_statement,ربح الفترة
Profit for the period,income_statement,صافي ربح الفترة
Profit for the period,income_statement,الربح للفترة
Net profit,income_statement,صافي الربح
Net profit,income_statement,صافي الأرباح
Net loss,income_statement,صافي الخسارة
Net loss,income_statement,صافي الخسائر
Profit attributable to shareholders,income_statement,الربح العائد للمساهمين
Profit attributable to shareholders,income_statement,الأرباح العائدة للمساهمين
Profit attributable to equity holders,income_statement,الربح العائد لحملة حقوق الملكية
Profit attributable to equity holders,income_statement,الربح العائد لأصحاب حقوق الملكية
Profit attributable to parent company shareholders,income_statement,الربح العائد لمساهمي الشركة الأم
Non-controlling interests,income_statement,الحقوق غير المسيطرة
Non-controlling interests,income_statement,حقوق الأقلية
Non-controlling interests,income_statement,حصص غير مسيطرة
Basic earnings per share,income_statement,ربحية السهم الأساسية
Basic earnings per share,income_statement,العائد الأساسي للسهم
Basic earnings per share,income_statement,ربح السهم الأساسي
Diluted earnings per share,income_statement,ربحية السهم المخفضة
Diluted earnings per share,income_statement,العائد المخفض للسهم
Diluted earnings per share,income_statement,ربح السهم المخفض
Earnings per share,income_statement,ربحية السهم
Earnings per share,income_statement,العائد على السهم
Earnings per share,income_statement,ربح السهم
Revenue,income_statement,الإيرادات
Revenue,income_statement,الإيراد
Revenue,income_statement,المبيعات
Revenue from contracts with customers,income_statement,الإيرادات من العقود مع العملاء
Revenue from contracts with customers,income_statement,إيرادات العقود مع العملاء
Sales,income_statement,المبيعات
Sales,income_statement,إيرادات المبيعات
Cost of sales,income_statement,تكلفة المبيعات
Cost of sales,income_statement,تكلفة المبيعات المباعة
Cost of revenue,income_statement,تكلفة الإيرادات
Cost of revenue,income_statement,تكلفة الإيراد
Cost of goods sold,income_statement,تكلفة البضاعة المباعة
Cost of goods sold,income_statement,تكلفة البضائع المباعة
Gross profit,income_statement,مجمل الربح
Gross profit,income_statement,إجمالي الربح
Gross profit,income_statement,الربح الإجمالي
Operating profit,income_statement,الربح التشغيلي
Operating profit,income_statement,ربح التشغيل
Operating profit,income_statement,الأرباح التشغيلية
Selling and distribution expenses,income_statement,مصاريف البيع والتوزيع
Selling and distribution expenses,income_statement,مصروفات البيع والتوزيع
Marketing expenses,income_statement,مصاريف التسويق
Marketing expenses,income_statement,مصروفات التسويق والإعلان
Finance costs,income_statement,تكاليف التمويل
Finance costs,income_statement,أعباء التمويل
Finance costs,income_statement,تكاليف تمويلية
Finance income,income_statement,إيرادات التمويل
Finance income,income_statement,إيرادات تمويلية
Finance income,income_statement,دخل التمويل
Other income,income_statement,إيرادات أخرى
Other income,income_statement,دخل آخر
Other income,income_statement,الإيرادات الأخرى
Other expenses,income_statement,مصاريف أخرى
Other expenses,income_statement,مصروفات أخرى
Other expenses,income_statement,المصاريف الأخرى
Gain on sale of investments,income_statement,الأرباح من بيع الاستثمارات
Gain on sale of investments,income_statement,أرباح بيع الاستثمارات
Gain on sale of investments,income_statement,مكاسب بيع الاستثمارات
Loss on sale of investments,income_statement,الخسائر من بيع الاستثمارات
Loss on sale of investments,income_statement,خسائر بيع الاستثمارات
Gain on disposal of property and equipment,income_statement,أرباح بيع الممتلكات والمعدات
Gain on disposal of property and equipment,income_statement,مكاسب استبعاد الممتلكات والمعدات
Net gain from financial instruments at fair value,income_statement,صافي الأرباح من الأدوات المالية بالقيمة العادلة
Realised gains,income_statement,الأرباح المحققة
Realised gains,income_statement,المكاسب المحققة
Unrealised gains,income_statement,الأرباح غير المحققة
Unrealised gains,income_statement,المكاسب غير المحققة
Impairment reversal,income_statement,عكس انخفاض القيمة
Impairment reversal,income_statement,رد مخصص انخفاض القيمة
Impairment reversal,income_statement,استرداد انخفاض القيمة
Provisions no longer required,income_statement,المخصصات المستردة
Provisions no longer required,income_statement,مخصصات لم تعد مطلوبة
Rental income,income_statement,إيرادات الإيجار
Rental income,income_statement,دخل الإيجارات
Government grants,income_statement,المنح الحكومية
Government grants,income_statement,الإعانات الحكومية
Loss for the year,income_statement,خسارة السنة
Loss for the year,income_statement,صافي خسارة السنة
Loss for the year,income_statement,الخسارة للسنة
Total income,income_statement,إجمالي الدخل
Total income,income_statement,مجموع الإيرادات
Total income,income_statement,إجمالي الإيرادات
Profit before Zakat and tax,income_statement,الربح قبل الزكاة والضريبة
Profit before Zakat and tax,income_statement,صافي الربح قبل الزكاة والضريبة
Net profit for the year,income_statement,صافي ربح السنة
Net profit for the year,income_statement,صافي الربح للسنة
Net profit attributable to owners of the parent,income_statement,صافي الربح العائد لمالكي الشركة الأم
Net profit attributable to owners of the parent,income_statement,الربح العائد لمساهمي الشركة الأم
Other comprehensive income,comprehensive_income,الدخل الشامل الآخر
Other comprehensive income,comprehensive_income,الإيرادات الشاملة الأخرى
Items that may be reclassified to income statement,comprehensive_income,البنود التي قد يعاد تصنيفها إلى قائمة الدخل
Items that may be reclassified to income statement,comprehensive_income,بنود يمكن إعادة تصنيفها لاحقاً إلى الأرباح أو الخسائر
Items that will not be reclassified to income statement,comprehensive_income,البنود التي لن يعاد تصنيفها إلى قائمة الدخل
Items that will not be reclassified to income statement,comprehensive_income,بنود لن يعاد تصنيفها إلى الأرباح أو الخسائر
Exchange differences on translation of foreign operations,comprehensive_income,فروق ترجمة العمليات الأجنبية
Exchange differences on translation of foreign operations,comprehensive_income,فروق تحويل العمليات الأجنبية
Cash flow hedges,comprehensive_income,تحوطات التدفقات النقدية
Cash flow hedges,comprehensive_income,تحوط التدفق النقدي
Actuarial gain/(loss) on retirement benefit obligations,comprehensive_income,الأرباح/(الخسائر) الاكتوارية على التزامات مكافآت التقاعد
Revaluation surplus,comprehensive_income,فائض إعادة التقييم
Revaluation surplus,comprehensive_income,احتياطي إعادة التقييم
Total comprehensive income for the year,comprehensive_income,إجمالي الدخل الشامل للسنة
Total comprehensive income for the year,comprehensive_income,مجموع الدخل الشامل للسنة
Total comprehensive income attributable to shareholders,comprehensive_income,إجمالي الدخل الشامل العائد للمساهمين
Total comprehensive income attributable to shareholders,comprehensive_income,مجموع الدخل الشامل العائد للمساهمين
Net change in fair value of investments,comprehensive_income,صافي التغير في القيمة العادلة للاستثمارات
Net change in fair value of investments,comprehensive_income,التغير في القيمة العادلة للاستثمارات
Net movement in cash flow hedge reserve,comprehensive_income,صافي الحركة في احتياطي تحوط التدفقات النقدية
Remeasurement of defined benefit obligations,comprehensive_income,إعادة قياس التزامات المنافع المحددة
Remeasurement of defined benefit obligations,comprehensive_income,إعادة قياس مكافآت نهاية الخدمة
Share of other comprehensive income of associates,comprehensive_income,الحصة من الدخل الشامل الآخر للشركات الزميلة
Assets,assets,الأصول
Assets,assets,الموجودات
Cash and balances at central banks,assets,النقد والأرصدة لدى البنوك المركزية
Cash and balances at central banks,assets,النقد والأرصدة لدى المصارف المركزية
Cash and balances at central banks,assets,نقد وأرصدة لدى البنك المركزي
Cash and cash equivalents,assets,النقد وما في حكمه
Cash and cash equivalents,assets,النقدية وما يعادلها
Cash and cash equivalents,assets,النقد وما يعادله
Due from banks,assets,مستحق من البنوك
Due from banks,assets,المستحق من المصارف
Due from banks,assets,أرصدة لدى البنوك
Loans and advances to banks,assets,القروض والسلف للبنوك
Loans and advances to banks,assets,قروض وسلف للمصارف
Loans and advances to customers,assets,القروض والسلف للعملاء
Loans and advances to customers,assets,قروض وسلف للعملاء
Loans and advances to customers,assets,القروض والتسليفات للعملاء
Loans and advances,assets,القروض والسلف
Loans and advances,assets,القروض والتسليفات
Loans and advances,assets,التسهيلات الائتمانية
Islamic financing and investing assets,assets,أصول التمويل والاستثمار الإسلامية
Islamic financing and investing assets,assets,موجودات التمويل الإسلامي
Financial assets held at fair value through profit or loss,assets,الأصول المالية بالقيمة العادلة من خلال الأرباح أو الخسائر
Financial assets held at fair value through profit or loss,assets,موجودات مالية بالقيمة العادلة من خلال الربح أو الخسارة
Financial assets at fair value through other comprehensive income,assets,الأصول المالية بالقيمة العادلة من خلال الدخل الشامل الآخر
Derivative financial instruments,assets,الأدوات المالية المشتقة
Derivative financial instruments,assets,المشتقات المالية
Derivative financial instruments,assets,أدوات مالية مشتقة
Investment securities,assets,الأوراق المالية الاستثمارية
Investment securities,assets,استثمارات في أوراق مالية
Investment securities,assets,الاستثمارات في الأوراق المالية
Investments,assets,الاستثمارات
Investments,assets,استثمارات
Investment in associates and joint ventures,assets,الاستثمار في الشركات الزميلة والمشاريع المشتركة
Investment in associates and joint ventures,assets,استثمارات في شركات زميلة ومشاريع مشتركة
Investment properties,assets,العقارات الاستثمارية
Investment properties,assets,الاستثمارات العقارية
"Property, plant and equipment",assets,الممتلكات والآلات والمعدات
"Property, plant and equipment",assets,الممتلكات والمعدات
"Property, plant and equipment",assets,العقارات والآلات والمعدات
Property and equipment,assets,الممتلكات والمعدات
Property and equipment,assets,العقارات والمعدات
Right-of-use assets,assets,أصول حق الاستخدام
Right-of-use assets,assets,موجودات حق الاستخدام
Goodwill,assets,الشهرة
Goodwill,assets,شهرة
Goodwill and intangible assets,assets,الشهرة والأصول غير الملموسة
Goodwill and intangible assets,assets,الشهرة والموجودات غير الملموسة
Intangible assets,assets,الأصول غير الملموسة
Intangible assets,assets,الموجودات غير الملموسة
Intangible assets,assets,الأصول المعنوية
Deferred tax assets,assets,الأصول الضريبية المؤجلة
Deferred tax assets,assets,موجودات ضريبية مؤجلة
Deferred tax assets,assets,الضريبة المؤجلة - أصول
Current tax assets,assets,الأصول الضريبية المتداولة
Current tax assets,assets,موجودات ضريبية متداولة
Other assets,assets,أصول أخرى
Other assets,assets,موجودات أخرى
Other assets,assets,الأصول الأخرى
Prepayments and accrued income,assets,المصروفات المدفوعة مقدماً والإيرادات المستحقة
Prepayments and accrued income,assets,مصاريف مدفوعة مقدماً وإيرادات مستحقة
Assets held for sale,assets,الأصول المحتفظ بها للبيع
Assets held for sale,assets,الموجودات المحتفظ بها بغرض البيع
Inventory,assets,المخزون
Inventory,assets,البضاعة
Trade receivables,assets,الذمم المدينة التجارية
Trade receivables,assets,المدينون التجاريون
Trade receivables,assets,ذمم مدينة تجارية
Accounts receivable,assets,الذمم المدينة
Accounts receivable,assets,المدينون
Accounts receivable,assets,الحسابات المدينة
Total assets,assets,إجمالي الأصول
Total assets,assets,مجموع الأصول
Total assets,assets,إجمالي الموجودات
Total assets,assets,مجموع الموجودات
Current assets,assets,الأصول المتداولة
Current assets,assets,الموجودات المتداولة
Non-current assets,assets,الأصول غير المتداولة
Non-current assets,assets,الموجودات غير المتداولة
Total current assets,assets,إجمالي الأصول المتداولة
Total current assets,assets,مجموع الموجودات المتداولة
Total non-current assets,assets,إجمالي الأصول غير المتداولة
Total non-current assets,assets,مجموع الموجودات غير المتداولة
Statutory deposit with central bank,assets,الوديعة النظامية لدى البنك المركزي
Statutory deposit with central bank,assets,الاحتياطي النظامي لدى المصرف المركزي
Statutory deposit with central bank,assets,الوديعة الإلزامية لدى البنك المركزي
Mandatory reserve deposit,assets,الاحتياطي الإلزامي
Mandatory reserve deposit,assets,وديعة الاحتياطي الإلزامي
Balances with central banks,assets,الأرصدة لدى البنوك المركزية
Balances with central banks,assets,أرصدة لدى المصارف المركزية
Balances with banks,assets,الأرصدة لدى البنوك
Balances with banks,assets,أرصدة لدى المصارف
Balances with banks,assets,أرصدة لدى بنوك
Placements with banks,assets,الإيداعات لدى البنوك
Placements with banks,assets,إيداعات لدى المصارف
Reverse repurchase agreements,assets,اتفاقيات إعادة الشراء العكسي
Reverse repurchase agreements,assets,اتفاقات إعادة الشراء العكسية
Precious metals,assets,المعادن الثمينة
Precious metals,assets,معادن ثمينة
Bills discounted,assets,الكمبيالات المخصومة
Bills discounted,assets,أوراق القبض المخصومة
Customers' acceptances,assets,قبولات العملاء
Customers' acceptances,assets,القبولات المصرفية للعملاء
Financial investments,assets,الاستثمارات المالية
Financial investments,assets,استثمارات مالية
Financial assets at amortised cost,assets,الأصول المالية بالتكلفة المطفأة
Financial assets at amortised cost,assets,موجودات مالية بالتكلفة المطفأة
Available-for-sale investments,assets,الاستثمارات المتاحة للبيع
Available-for-sale investments,assets,استثمارات متاحة للبيع
Held-to-maturity investments,assets,الاستثمارات المحتفظ بها حتى تاريخ الاستحقاق
Held-to-maturity investments,assets,استثمارات محتفظ بها حتى الاستحقاق
Trading investments,assets,استثمارات المتاجرة
Trading investments,assets,الاستثمارات المحتفظ بها للمتاجرة
Trading investments,assets,محفظة المتاجرة
Equity investments,assets,الاستثمارات في الأسهم
Equity investments,assets,استثمارات في أدوات حقوق الملكية
Debt investments,assets,الاستثمارات في أدوات الدين
Debt investments,assets,استثمارات في سندات الدين
Sukuk investments,assets,الاستثمارات في الصكوك
Sukuk investments,assets,استثمارات في صكوك
Investment in subsidiaries,assets,الاستثمار في الشركات التابعة
Investment in subsidiaries,assets,استثمارات في شركات تابعة
Investment in associates,assets,الاستثمار في الشركات الزميلة
Investment in associates,assets,استثمارات في شركات زميلة
Land,assets,الأراضي
Land,assets,أراضي
Buildings,assets,المباني
Buildings,assets,مبانٍ
Buildings,assets,العقارات
Furniture and fixtures,assets,الأثاث والتجهيزات
Furniture and fixtures,assets,الأثاث والمفروشات
Motor vehicles,assets,السيارات
Motor vehicles,assets,المركبات
Motor vehicles,assets,وسائل النقل
Office equipment,assets,المعدات المكتبية
Office equipment,assets,معدات المكتب
Office equipment,assets,الأجهزة المكتبية
Computer equipment and software,assets,أجهزة وبرامج الحاسب الآلي
Computer equipment and software,assets,الحاسبات الآلية والبرامج
Capital work in progress,assets,الأعمال الرأسمالية تحت التنفيذ
Capital work in progress,assets,مشاريع تحت التنفيذ
Capital work in progress,assets,أعمال تحت التنفيذ
Leasehold improvements,assets,تحسينات على عقارات مستأجرة
Leasehold improvements,assets,تحسينات المأجور
Leasehold improvements,assets,التحسينات على المباني المستأجرة
Net book value,assets,صافي القيمة الدفترية
Net book value,assets,القيمة الدفترية الصافية
Accrued income,assets,الإيرادات المستحقة
Accrued income,assets,الدخل المستحق
Prepaid expenses,assets,المصاريف المدفوعة مقدماً
Prepaid expenses,assets,مصروفات مدفوعة مقدماً
Advances and prepayments,assets,السلف والدفعات المقدمة
Advances and prepayments,assets,الدفعات المقدمة والسلف
Due from related parties,assets,المستحق من الأطراف ذات العلاقة
Due from related parties,assets,أرصدة مدينة لأطراف ذات علاقة
Financing to customers,assets,التمويل للعملاء
Financing to customers,assets,التمويلات للعملاء
Financing to customers,assets,التمويل الممنوح للعملاء
Liabilities,liabilities,المطلوبات
Liabilities,liabilities,الخصوم
Liabilities,liabilities,الالتزامات
Deposits by banks,liabilities,ودائع البنوك
Deposits by banks,liabilities,ودائع المصارف
Deposits by banks,liabilities,المستحق للبنوك
Due to banks,liabilities,مستحق للبنوك
Due to banks,liabilities,المستحق للمصارف
Customer accounts,liabilities,حسابات العملاء
Customer accounts,liabilities,ودائع العملاء
Customer accounts,liabilities,حسابات الزبائن
Customer deposits,liabilities,ودائع العملاء
Customer deposits,liabilities,ودائع الزبائن
Repurchase agreements,liabilities,اتفاقيات إعادة الشراء
Repurchase agreements,liabilities,اتفاقات إعادة الشراء
Financial liabilities held at fair value through profit or loss,liabilities,المطلوبات المالية بالقيمة العادلة من خلال الأرباح أو الخسائر
Financial liabilities held at fair value through profit or loss,liabilities,خصوم مالية بالقيمة العادلة من خلال الربح أو الخسارة
Debt securities in issue,liabilities,سندات الدين المصدرة
Debt securities in issue,liabilities,أوراق الدين المصدرة
Debt securities in issue,liabilities,السندات المصدرة
Subordinated liabilities,liabilities,المطلوبات الثانوية
Subordinated liabilities,liabilities,القروض المساندة
Subordinated liabilities,liabilities,الخصوم المساندة
Subordinated liabilities and other borrowed funds,liabilities,المطلوبات الثانوية والأموال المقترضة الأخرى
Borrowings,liabilities,القروض
Borrowings,liabilities,الاقتراضات
Borrowings,liabilities,التمويلات
Lease liabilities,liabilities,التزامات الإيجار
Lease liabilities,liabilities,مطلوبات عقود الإيجار
Provisions,liabilities,المخصصات
Provisions,liabilities,مخصصات
Provisions for liabilities and charges,liabilities,مخصصات المطلوبات والأعباء
Provisions for liabilities and charges,liabilities,مخصصات الالتزامات والمصاريف
Employee benefit obligations,liabilities,التزامات مكافآت الموظفين
Employee benefit obligations,liabilities,مخصص مكافأة نهاية الخدمة
Employee benefit obligations,liabilities,التزامات منافع الموظفين
End of service benefits,liabilities,مكافأة نهاية الخدمة
End of service benefits,liabilities,مخصص نهاية الخدمة
Deferred tax liabilities,liabilities,المطلوبات الضريبية المؤجلة
Deferred tax liabilities,liabilities,خصوم ضريبية مؤجلة
Deferred tax liabilities,liabilities,الضريبة المؤجلة - التزامات
Current tax liabilities,liabilities,المطلوبات الضريبية المتداولة
Current tax liabilities,liabilities,خصوم ضريبية متداولة
Current tax liabilities,liabilities,مخصص ضريبة الدخل
Trade payables,liabilities,الذمم الدائنة التجارية
Trade payables,liabilities,الدائنون التجاريون
Trade payables,liabilities,ذمم دائنة تجارية
Accounts payable,liabilities,الذمم الدائنة
Accounts payable,liabilities,الدائنون
Accounts payable,liabilities,الحسابات الدائنة
Accruals and deferred income,liabilities,المصروفات المستحقة والإيرادات المؤجلة
Accruals and deferred income,liabilities,مصاريف مستحقة وإيرادات مؤجلة
